city_name,province_name,value
孝感市,湖北省,10.86
黄冈市,湖北省,10.6
荆州市,湖北省,5.74
咸宁市,湖北省,4.74
鄂州市,湖北省,4.13
黄石市,湖北省,3.87
襄阳市,湖北省,3.8
随州市,湖北省,2.96
荆门市,湖北省,2.89
宜昌市,湖北省,2.8
仙桃市,湖北省,2.14
十堰市,湖北省,1.95
恩施土家族苗族自治州,湖北省,1.95
北京市,北京市,1.9
长沙市,湖南省,1.64
天门市,湖北省,1.51
上海市,上海市,1.35
广州市,广东省,1.2
潜江市,湖北省,1.19
重庆市,重庆市,1.15
信阳市,河南省,1.15
深圳市,广东省,1.08
郑州市,河南省,0.85
南昌市,江西省,0.72
成都市,四川省,0.71
杭州市,浙江省,0.66
合肥市,安徽省,0.66
南京市,江苏省,0.6
驻马店市,河南省,0.58
西安市,陕西省,0.55
九江市,江西省,0.53
岳阳市,湖南省,0.51
苏州市,江苏省,0.47
南阳市,河南省,0.47
厦门市,福建省,0.36
安庆市,安徽省,0.35
阜阳市,安徽省,0.35
东莞市,广东省,0.33
昆明市,云南省,0.31
贵阳市,贵州省,0.29
周口市,河南省,0.27
三亚市,海南省,0.27
佛山市,广东省,0.27
六安市,安徽省,0.26
南宁市,广西壮族自治区,0.26
天津市,天津市,0.25
温州市,浙江省,0.25
宁波市,浙江省,0.24
青岛市,山东省,0.24
商丘市,河南省,0.23
福州市,福建省,0.22
无锡市,江苏省,0.22
常德市,湖南省,0.22
上饶市,江西省,0.21
哈尔滨市,黑龙江省,0.21
洛阳市,河南省,0.19
石家庄市,河北省,0.19
宜春市,江西省,0.19
金华市,浙江省,0.19
衡阳市,湖南省,0.19
株洲市,湖南省,0.18
赣州市,江西省,0.18
海口市,海南省,0.17
新乡市,河南省,0.17
兰州市,甘肃省,0.16
徐州市,江苏省,0.16
太原市,山西省,0.16
济南市,山东省,0.16
邯郸市,河北省,0.15
湘潭市,湖南省,0.15
惠州市,广东省,0.15
泉州市,福建省,0.15
保定市,河北省,0.15
北海市,广西壮族自治区,0.15
菏泽市,山东省,0.15
平顶山市,河南省,0.14
大连市,辽宁省,0.14
嘉兴市,浙江省,0.14
珠海市,广东省,0.14
安康市,陕西省,0.14
芜湖市,安徽省,0.14
娄底市,湖南省,0.14
吉安市,江西省,0.14
南通市,江苏省,0.13
许昌市,河南省,0.13
漯河市,河南省,0.13
桂林市,广西壮族自治区,0.13
益阳市,湖南省,0.13
常州市,江苏省,0.13
遵义市,贵州省,0.13
乌鲁木齐市,新疆维吾尔自治区,0.13
台州市,浙江省,0.13
开封市,河南省,0.12
安阳市,河南省,0.12
抚州市,江西省,0.12
绍兴市,浙江省,0.12
沈阳市,辽宁省,0.12
黔东南苗族侗族自治州,贵州省,0.12
邵阳市,湖南省,0.12
神农架林区,湖北省,0.11
