fromCity,toCity,fromAdcode,toAdcode,duration,distance,hot
苏州,上海,320500,310000,96.409256,60.35642,25
上海,苏州,310000,320500,94.16591,64.302864,13
无锡,苏州,320200,320500,65.50002,53.17111,10
南通,上海,320600,310000,166.86824,144.19525,7
嘉兴,上海,330400,310000,116.14116,87.88935,7
苏州,无锡,320500,320200,69.126335,55.876003,7
无锡,上海,320200,310000,163.64055,144.89748,5
绍兴,杭州,330600,330100,68.631996,70.10868,5
盐城,上海,320900,310000,267.72095,313.7765,4
南京,上海,320100,310000,267.2375,298.25278,4
